Key,Path,AssetBundle,LevelKey,EnemyId,SummonedEnemy,Intensive,CellarSprite,Hp,Speed,SpeedRate,Critical,IsBoss,ExtraAssetBundle,BossBgm,BossRoom,BossWeapon,SubspeciesBoss,DoubleBosses,DropOffsetX,DropOffsetY,Drops,DropGroups
string,string,string,string,string,bool,bool,SpriteAtlasData,int,float,float,int,bool,string,string,string,string,string,"Dictionary<string, int>",float,float,List<Enemy.EnemyDropInfo>,List<Enemy.EnemyDropGroup>
boss07,Level/1/A/Boss/boss07/boss07.prefab,boss/boss07,1A,boss07,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_37"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",500,5,0,0,True,,RGSound/bgm/bgm_1High.mp3,Level/1/A/Boss/boss07/r1_boss1.prefab,weapon_134,,"{""boss07"":10,""boss08"":10,""boss14"":10,""boss09"":10,""boss10"":10,""boss10_2"":3,""boss13"":10,""boss22"":10,""boss19"":10,""boss23"":10}",0,0.5,"[{""item"":{""item"":""plant_datura_seed""},""probability"":6.6,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_eator_seed""},""probability"":10.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_trumpet_seed""},""probability"":10.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_gear_flower_seed""},""probability"":10.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_gem_flower_seed""},""probability"":10.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss07""},""probability"":40.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_ancient_weapon_fragment""},""probability"":150.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss08,Level/1/A/Boss/boss08/boss08.prefab,boss/boss08,1A,boss08,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_36"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",400,5,0,0,True,,RGSound/bgm/bgm_1High.mp3,Level/1/A/Boss/boss08/r1_boss2.prefab,weapon_123,,"{""boss07"":10,""boss08"":10,""boss14"":10,""boss09"":10,""boss10"":10,""boss10_2"":3,""boss13"":10,""boss22"":10,""boss19"":10,""boss23"":10}",0,1,"[{""item"":{""item"":""material_magic_blue""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_green""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_purple""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_red""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss08""},""probability"":35.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss14,Level/1/A/Boss/boss14/boss14.prefab,boss/boss14,1A,boss14,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_82"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",425,3,0,0,True,,RGSound/bgm/bgm_1High.mp3,Level/1/A/Boss/boss14/r1_boss5.prefab,weapon_176,,"{""boss07"":10,""boss08"":10,""boss14"":10,""boss09"":10,""boss10"":10,""boss10_2"":3,""boss13"":10,""boss22"":10,""boss19"":10,""boss23"":10}",0,1,"[{""item"":{""item"":""material_wood""},""probability"":100.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_iron_tree_seed""},""probability"":12.5,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_tree_seed""},""probability"":12.5,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_gem_tree_seed""},""probability"":7.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_xmas_seed""},""probability"":12.5,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss19,Level/1/A/Boss/boss19/boss19.prefab,boss/boss19,1A,boss19,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_97"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",400,6,0,0,True,,RGSound/bgm/bgm_1High.mp3,Level/1/A/Boss/boss19/r1_boss7.prefab,weapon_244,,"{""boss07"":10,""boss08"":10,""boss14"":10,""boss09"":10,""boss10"":10,""boss10_2"":3,""boss13"":10,""boss22"":10,""boss19"":10,""boss23"":10}",0,1,"[{""item"":{""item"":""material_cell""},""probability"":100.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""plant_carrot_seed""},""probability"":50.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss19""},""probability"":40.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_easter""},""probability"":20.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
boss25,Level/1/A/Boss/boss25/boss25.prefab,boss/boss25,1A,boss25,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_38"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",400,5,0,0,True,,RGSound/bgm/bgm_2High.mp3,Level/1/A/Boss/boss25/r1_boss10.prefab,,,"{""boss07"":10,""boss08"":10,""boss14"":10,""boss09"":10,""boss10"":10,""boss10_2"":3,""boss13"":10,""boss22"":10,""boss19"":10,""boss23"":10}",0,1,"[{""item"":{""item"":""material_magic_blue""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_green""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_purple""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_magic_red""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_tape_boss1""},""probability"":7.50000048,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]},{""item"":{""item"":""material_skin_fragment_boss08""},""probability"":35.0,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
e_boar01,Level/1/A/Enemy/e_boar01/e_boar01.prefab,level/1/a,1A,e_boar01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_46"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",8,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_boar02,Level/1/A/Enemy/e_boar02/e_boar02.prefab,level/1/a,1A,e_boar02,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_47"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",10,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_empty,Level/1/A/Enemy/e_empty/e_empty.prefab,level/1/a,1A,e_boar01,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_46"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list.png""}",8,3,0,0,False,,,,,,"{}",0,0,"[]","[]"
e_fire_sacrifice,Level/1/A/Enemy/e_fire_sacrifice/e_fire_sacrifice.prefab,level/1/a,1A,e_fire_sacrifice,False,False,"{""spriteAtlas"":""RGTexture/sprite_atlas/cellar.spriteatlasv2"",""sprite"":""enemy_list_2_50"",""tex"":""Assets/RGTexture/enemy/cellar/enemy_list_2.png""}",12,4,0,0,False,,,,,,"{}",0,0.5,"[{""item"":{""item"":""material_tape_forest""},""probability"":0.05,""guaranteeDrop"":false,""guaranteeDropCount"":0,""conditions"":[]}]","[]"
