Key,Type,SubType,DataStr
string,string,string,string
blueprint_room_decorate_drink_seller,BluePrint,Blueprint,"{""BlueprintType"":3,""ItemName"":""room_decorate_drink_seller"",""ResearchMaterials"":[{""item"":""material_battery"",""num"":20},{""item"":""material_gear"",""num"":20},{""item"":""material_gem"",""num"":3000},{""item"":""material_iron"",""num"":20}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_room_decorate_drink_seller"",""Localization"":""object/drink_seller"",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""drink_seller"",""tex"":""Assets/RGTexture/items/drink_seller.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.199999988,""IconRotation"":0.0}"
blueprint_room_decorate_fishbowl,BluePrint,Blueprint,"{""BlueprintType"":3,""ItemName"":""room_decorate_fishbowl"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500},{""item"":""material_iron"",""num"":15},{""item"":""material_magic_blue"",""num"":2},{""item"":""material_wood"",""num"":15}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_room_decorate_fishbowl"",""Localization"":""object/fish_bowl"",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""fishbowl"",""tex"":""Assets/RGTexture/items/fishbowl.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.2,""IconRotation"":0.0}"
blueprint_room_decorate_magic_well,BluePrint,Blueprint,"{""BlueprintType"":3,""ItemName"":""room_decorate_magic_well"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":3000},{""item"":""material_iron"",""num"":15},{""item"":""material_magic_black"",""num"":5},{""item"":""material_magic_blue"",""num"":5},{""item"":""material_wood"",""num"":15}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_room_decorate_magic_well"",""Localization"":""object/magic_well"",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""magic_well"",""tex"":""Assets/RGTexture/items/magic_well.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.2,""IconRotation"":0.0}"
blueprint_room_decorate_mysteriou_statue,BluePrint,Blueprint,"{""BlueprintType"":3,""ItemName"":""room_decorate_mysteriou_statue"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":3000},{""item"":""material_iron"",""num"":20},{""item"":""material_magic_green"",""num"":5},{""item"":""material_magic_orange"",""num"":5},{""item"":""material_magic_purple"",""num"":5},{""item"":""material_magic_red"",""num"":5}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_room_decorate_mysteriou_statue"",""Localization"":""object/mysteriou_statue"",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""mysteriou_statue"",""tex"":""Assets/RGTexture/items/mysteriou_statue.png""},""IconPosition"":{""x"":0.0,""y"":0.0,""z"":0.0},""IconScale"":0.3,""IconRotation"":0.0}"
blueprint_garden_skin_0,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""garden_skin_0"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_garden_skin_0"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_garden_skin_1,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""garden_skin_1"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_garden_skin_1"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_garden_skin_2,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""garden_skin_2"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_garden_skin_2"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_hall_skin_0,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""hall_skin_0"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_hall_skin_0"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
blueprint_hall_skin_1,BluePrint,Blueprint,"{""BlueprintType"":0,""ItemName"":""hall_skin_1"",""ResearchMaterials"":[{""item"":""material_gem"",""num"":1500}],""NotRequiredInResearch"":false,""BluePrintLevel"":0,""WeaponDropLevel"":-1,""NeedRecordConsume"":true,""IsFromMechFragment"":false,""Hero"":0,""SkinIndex"":0,""SkillIndex"":0,""AutoMerge"":false,""Name"":""blueprint_hall_skin_1"",""Localization"":"""",""ItemValue"":0,""ItemLevel"":0,""Background"":{""spriteAtlas"":""RGTexture/sprite_atlas/items.spriteatlasv2"",""sprite"":""objects_pickable_0"",""tex"":""Assets/RGTexture/items/objects_pickable.png""},""Icon"":{},""IconPosition"":{""x"":-0.454,""y"":0.0,""z"":0.0},""IconScale"":1.0,""IconRotation"":0.0}"
